ACCT_ID,RecordDate,LoanStartDate,LoanPrincipleDueDate,LoanMaturityDate,LoanOriginalAmount,LoanBalance,MonthlyPayment,LastPaidDate,TotalPaymentsCompleted,RunningMonthsPaid,TotalMonthsDelinquent,RunningMonthsDelinquent,AccountState
9123618,5/21/2018,5/21/2018,10/15/2024,10/15/2027,60926.08,60926.08,543.98,5/21/2018,0,0,0,0,Opened
9123618,6/21/2018,5/21/2018,10/15/2024,10/15/2027,60926.08,60382.1,543.98,6/21/2018,1,1,0,0,Paid
9123618,7/21/2018,5/21/2018,10/15/2024,10/15/2027,60926.08,59838.11,543.98,7/21/2018,2,2,0,0,Paid
9123618,8/21/2018,5/21/2018,10/15/2024,10/15/2027,60926.08,59294.13,543.98,8/21/2018,3,3,0,0,Paid
9123618,9/21/2018,5/21/2018,10/15/2024,10/15/2027,60926.08,58750.15,543.98,9/21/2018,4,4,0,0,Paid
9123618,10/21/2018,5/21/2018,10/15/2024,10/15/2027,60926.08,58206.17,543.98,10/21/2018,5,5,0,0,Paid
9123618,11/21/2018,5/21/2018,10/15/2024,10/15/2027,60926.08,57662.18,543.98,11/21/2018,6,6,0,0,Paid
9123618,12/21/2018,5/21/2018,10/15/2024,10/15/2027,60926.08,57118.2,543.98,12/21/2018,7,7,0,0,Paid
9123618,1/21/2019,5/21/2018,10/15/2024,10/15/2027,60926.08,56574.22,543.98,1/21/2019,8,8,0,0,Paid
9123618,2/21/2019,5/21/2018,10/15/2024,10/15/2027,60926.08,56030.23,543.98,2/21/2019,9,9,0,0,Paid
9123618,3/21/2019,5/21/2018,10/15/2024,10/15/2027,60926.08,55486.25,543.98,3/21/2019,10,10,0,0,Paid
9123618,4/21/2019,5/21/2018,10/15/2024,10/15/2027,60926.08,54942.27,543.98,4/21/2019,11,11,0,0,Paid
9123618,5/21/2019,5/21/2018,10/15/2024,10/15/2027,60926.08,54398.29,543.98,5/21/2019,12,12,0,0,Paid
9123618,6/21/2019,5/21/2018,10/15/2024,10/15/2027,60926.08,53854.3,543.98,6/21/2019,13,13,0,0,Paid
9123618,7/21/2019,5/21/2018,10/15/2024,10/15/2027,60926.08,53310.32,543.98,7/21/2019,14,14,0,0,Paid
9123618,8/21/2019,5/21/2018,10/15/2024,10/15/2027,60926.08,52766.34,543.98,8/21/2019,15,15,0,0,Paid
9123618,9/21/2019,5/21/2018,10/15/2024,10/15/2027,60926.08,52222.35,543.98,9/21/2019,16,16,0,0,Paid
9123618,10/21/2019,5/21/2018,10/15/2024,10/15/2027,60926.08,52222.35,543.98,9/21/2019,16,0,1,1,Defaulting
9123618,11/21/2019,5/21/2018,10/15/2024,10/15/2027,60926.08,52222.35,543.98,9/21/2019,16,0,2,2,Defaulting
9123618,12/21/2019,5/21/2018,10/15/2024,10/15/2027,60926.08,51678.37,543.98,12/21/2019,17,1,2,0,Paid
9123618,1/21/2020,5/21/2018,10/15/2024,10/15/2027,60926.08,51134.39,543.98,1/21/2020,18,2,2,0,Paid
9123618,2/21/2020,5/21/2018,10/15/2024,10/15/2027,60926.08,50590.41,543.98,2/21/2020,19,3,2,0,Paid
9123618,3/21/2020,5/21/2018,10/15/2024,10/15/2027,60926.08,50046.42,543.98,3/21/2020,20,4,2,0,Paid
9123618,4/21/2020,5/21/2018,10/15/2024,10/15/2027,60926.08,49502.44,543.98,4/21/2020,21,5,2,0,Paid
9123618,5/21/2020,5/21/2018,10/15/2024,10/15/2027,60926.08,49502.44,543.98,4/21/2020,21,0,3,1,Defaulting
9123618,6/21/2020,5/21/2018,10/15/2024,10/15/2027,60926.08,48958.46,543.98,6/21/2020,22,1,3,0,Paid
9123618,7/21/2020,5/21/2018,10/15/2024,10/15/2027,60926.08,48414.47,543.98,7/21/2020,23,2,3,0,Paid
9123618,8/21/2020,5/21/2018,10/15/2024,10/15/2027,60926.08,47870.49,543.98,8/21/2020,24,3,3,0,Paid
9123618,9/21/2020,5/21/2018,10/15/2024,10/15/2027,60926.08,47326.51,543.98,9/21/2020,25,4,3,0,Paid
9123618,10/21/2020,5/21/2018,10/15/2024,10/15/2027,60926.08,46782.53,543.98,10/21/2020,26,5,3,0,Paid
9123618,11/21/2020,5/21/2018,10/15/2024,10/15/2027,60926.08,46782.53,543.98,10/21/2020,26,0,4,1,Defaulting
9123618,12/21/2020,5/21/2018,10/15/2024,10/15/2027,60926.08,46782.53,543.98,10/21/2020,26,0,5,2,Defaulting
9123618,1/21/2021,5/21/2018,10/15/2024,10/15/2027,60926.08,46238.54,543.98,1/21/2021,27,1,5,0,Paid
9123618,2/21/2021,5/21/2018,10/15/2024,10/15/2027,60926.08,45694.56,543.98,2/21/2021,28,2,5,0,Paid
9123618,3/21/2021,5/21/2018,10/15/2024,10/15/2027,60926.08,45150.58,543.98,3/21/2021,29,3,5,0,Paid
9123618,4/21/2021,5/21/2018,10/15/2024,10/15/2027,60926.08,44606.59,543.98,4/21/2021,30,4,5,0,Paid
9123618,5/21/2021,5/21/2018,10/15/2024,10/15/2027,60926.08,44062.61,543.98,5/21/2021,31,5,5,0,Paid
9123618,6/21/2021,5/21/2018,10/15/2024,10/15/2027,60926.08,43518.63,543.98,6/21/2021,32,6,5,0,Paid
9123618,7/21/2021,5/21/2018,10/15/2024,10/15/2027,60926.08,42974.65,543.98,7/21/2021,33,7,5,0,Paid
9123618,8/21/2021,5/21/2018,10/15/2024,10/15/2027,60926.08,42430.66,543.98,8/21/2021,34,8,5,0,Paid
9123618,9/21/2021,5/21/2018,10/15/2024,10/15/2027,60926.08,41886.68,543.98,9/21/2021,35,9,5,0,Paid
9123618,10/21/2021,5/21/2018,10/15/2024,10/15/2027,60926.08,41342.7,543.98,10/21/2021,36,10,5,0,Paid
9123618,11/21/2021,5/21/2018,10/15/2024,10/15/2027,60926.08,40798.71,543.98,11/21/2021,37,11,5,0,Paid
9123618,12/21/2021,5/21/2018,10/15/2024,10/15/2027,60926.08,40254.73,543.98,12/21/2021,38,12,5,0,Paid
1907670,7/16/2013,7/16/2013,12/26/2021,12/26/2022,75359.94,75359.94,666.9,7/16/2013,0,0,0,0,Opened
1907670,8/16/2013,7/16/2013,12/26/2021,12/26/2022,75359.94,74693.04,666.9,8/16/2013,1,1,0,0,Paid
1907670,9/16/2013,7/16/2013,12/26/2021,12/26/2022,75359.94,74026.14,666.9,9/16/2013,2,2,0,0,Paid
1907670,10/16/2013,7/16/2013,12/26/2021,12/26/2022,75359.94,73359.23,666.9,10/16/2013,3,3,0,0,Paid
1907670,11/16/2013,7/16/2013,12/26/2021,12/26/2022,75359.94,72692.33,666.9,11/16/2013,4,4,0,0,Paid
1907670,12/16/2013,7/16/2013,12/26/2021,12/26/2022,75359.94,72025.43,666.9,12/16/2013,5,5,0,0,Paid
1907670,1/16/2014,7/16/2013,12/26/2021,12/26/2022,75359.94,71358.53,666.9,1/16/2014,6,6,0,0,Paid
1907670,2/16/2014,7/16/2013,12/26/2021,12/26/2022,75359.94,70691.63,666.9,2/16/2014,7,7,0,0,Paid
1907670,3/16/2014,7/16/2013,12/26/2021,12/26/2022,75359.94,70024.72,666.9,3/16/2014,8,8,0,0,Paid
1907670,4/16/2014,7/16/2013,12/26/2021,12/26/2022,75359.94,69357.82,666.9,4/16/2014,9,9,0,0,Paid
1907670,5/16/2014,7/16/2013,12/26/2021,12/26/2022,75359.94,69357.82,666.9,4/16/2014,9,0,1,1,Defaulting
1907670,6/16/2014,7/16/2013,12/26/2021,12/26/2022,75359.94,68690.92,666.9,6/16/2014,10,1,1,0,Paid
1907670,7/16/2014,7/16/2013,12/26/2021,12/26/2022,75359.94,68024.02,666.9,7/16/2014,11,2,1,0,Paid
1907670,8/16/2014,7/16/2013,12/26/2021,12/26/2022,75359.94,67357.11,666.9,8/16/2014,12,3,1,0,Paid
1907670,9/16/2014,7/16/2013,12/26/2021,12/26/2022,75359.94,66690.21,666.9,9/16/2014,13,4,1,0,Paid
1907670,10/16/2014,7/16/2013,12/26/2021,12/26/2022,75359.94,66023.31,666.9,10/16/2014,14,5,1,0,Paid
1907670,11/16/2014,7/16/2013,12/26/2021,12/26/2022,75359.94,65356.41,666.9,11/16/2014,15,6,1,0,Paid
1907670,12/16/2014,7/16/2013,12/26/2021,12/26/2022,75359.94,65356.41,666.9,11/16/2014,15,0,2,1,Defaulting
1907670,1/16/2015,7/16/2013,12/26/2021,12/26/2022,75359.94,64689.51,666.9,1/16/2015,16,1,2,0,Paid
1907670,2/16/2015,7/16/2013,12/26/2021,12/26/2022,75359.94,64022.6,666.9,2/16/2015,17,2,2,0,Paid
1907670,3/16/2015,7/16/2013,12/26/2021,12/26/2022,75359.94,63355.7,666.9,3/16/2015,18,3,2,0,Paid
1907670,4/16/2015,7/16/2013,12/26/2021,12/26/2022,75359.94,62688.8,666.9,4/16/2015,19,4,2,0,Paid
1907670,5/16/2015,7/16/2013,12/26/2021,12/26/2022,75359.94,62021.9,666.9,5/16/2015,20,5,2,0,Paid
1907670,6/16/2015,7/16/2013,12/26/2021,12/26/2022,75359.94,61355,666.9,6/16/2015,21,6,2,0,Paid
1907670,7/16/2015,7/16/2013,12/26/2021,12/26/2022,75359.94,60688.09,666.9,7/16/2015,22,7,2,0,Paid
1907670,8/16/2015,7/16/2013,12/26/2021,12/26/2022,75359.94,60688.09,666.9,7/16/2015,22,0,3,1,Defaulting
1907670,9/16/2015,7/16/2013,12/26/2021,12/26/2022,75359.94,60021.19,666.9,9/16/2015,23,1,3,0,Paid
1907670,10/16/2015,7/16/2013,12/26/2021,12/26/2022,75359.94,59354.29,666.9,10/16/2015,24,2,3,0,Paid
1907670,11/16/2015,7/16/2013,12/26/2021,12/26/2022,75359.94,59354.29,666.9,10/16/2015,24,0,4,1,Defaulting
1907670,12/16/2015,7/16/2013,12/26/2021,12/26/2022,75359.94,58687.39,666.9,12/16/2015,25,1,4,0,Paid
1907670,1/16/2016,7/16/2013,12/26/2021,12/26/2022,75359.94,58020.48,666.9,1/16/2016,26,2,4,0,Paid
1907670,2/16/2016,7/16/2013,12/26/2021,12/26/2022,75359.94,57353.58,666.9,2/16/2016,27,3,4,0,Paid
1907670,3/16/2016,7/16/2013,12/26/2021,12/26/2022,75359.94,56686.68,666.9,3/16/2016,28,4,4,0,Paid
1907670,4/16/2016,7/16/2013,12/26/2021,12/26/2022,75359.94,56019.78,666.9,4/16/2016,29,5,4,0,Paid
1907670,5/16/2016,7/16/2013,12/26/2021,12/26/2022,75359.94,55352.88,666.9,5/16/2016,30,6,4,0,Paid
1907670,6/16/2016,7/16/2013,12/26/2021,12/26/2022,75359.94,54685.97,666.9,6/16/2016,31,7,4,0,Paid
1907670,7/16/2016,7/16/2013,12/26/2021,12/26/2022,75359.94,54019.07,666.9,7/16/2016,32,8,4,0,Paid
1907670,8/16/2016,7/16/2013,12/26/2021,12/26/2022,75359.94,54019.07,666.9,7/16/2016,32,0,5,1,Defaulting
1907670,9/16/2016,7/16/2013,12/26/2021,12/26/2022,75359.94,54019.07,666.9,7/16/2016,32,0,6,2,Defaulting
1907670,10/16/2016,7/16/2013,12/26/2021,12/26/2022,75359.94,53352.17,666.9,10/16/2016,33,1,6,0,Paid
1907670,11/16/2016,7/16/2013,12/26/2021,12/26/2022,75359.94,53352.17,666.9,10/16/2016,33,0,7,1,Defaulting
1907670,12/16/2016,7/16/2013,12/26/2021,12/26/2022,75359.94,52685.27,666.9,12/16/2016,34,1,7,0,Paid
1907670,1/16/2017,7/16/2013,12/26/2021,12/26/2022,75359.94,52018.37,666.9,1/16/2017,35,2,7,0,Paid
1907670,2/16/2017,7/16/2013,12/26/2021,12/26/2022,75359.94,51351.46,666.9,2/16/2017,36,3,7,0,Paid
1907670,3/16/2017,7/16/2013,12/26/2021,12/26/2022,75359.94,51351.46,666.9,2/16/2017,36,0,8,1,Defaulting
1907670,4/16/2017,7/16/2013,12/26/2021,12/26/2022,75359.94,50684.56,666.9,4/16/2017,37,1,8,0,Paid
1907670,5/16/2017,7/16/2013,12/26/2021,12/26/2022,75359.94,50017.66,666.9,5/16/2017,38,2,8,0,Paid
1907670,6/16/2017,7/16/2013,12/26/2021,12/26/2022,75359.94,49350.76,666.9,6/16/2017,39,3,8,0,Paid
1907670,7/16/2017,7/16/2013,12/26/2021,12/26/2022,75359.94,48683.86,666.9,7/16/2017,40,4,8,0,Paid
1907670,8/16/2017,7/16/2013,12/26/2021,12/26/2022,75359.94,48016.95,666.9,8/16/2017,41,5,8,0,Paid
1907670,9/16/2017,7/16/2013,12/26/2021,12/26/2022,75359.94,48016.95,666.9,8/16/2017,41,0,9,1,Defaulting
1907670,10/16/2017,7/16/2013,12/26/2021,12/26/2022,75359.94,47350.05,666.9,10/16/2017,42,1,9,0,Paid
1907670,11/16/2017,7/16/2013,12/26/2021,12/26/2022,75359.94,47350.05,666.9,10/16/2017,42,0,10,1,Defaulting
1907670,12/16/2017,7/16/2013,12/26/2021,12/26/2022,75359.94,46683.15,666.9,12/16/2017,43,1,10,0,Paid
1907670,1/16/2018,7/16/2013,12/26/2021,12/26/2022,75359.94,46016.25,666.9,1/16/2018,44,2,10,0,Paid
1907670,2/16/2018,7/16/2013,12/26/2021,12/26/2022,75359.94,45349.34,666.9,2/16/2018,45,3,10,0,Paid
1907670,3/16/2018,7/16/2013,12/26/2021,12/26/2022,75359.94,44682.44,666.9,3/16/2018,46,4,10,0,Paid
1907670,4/16/2018,7/16/2013,12/26/2021,12/26/2022,75359.94,44015.54,666.9,4/16/2018,47,5,10,0,Paid
1907670,5/16/2018,7/16/2013,12/26/2021,12/26/2022,75359.94,44015.54,666.9,4/16/2018,47,0,11,1,Defaulting
1907670,6/16/2018,7/16/2013,12/26/2021,12/26/2022,75359.94,43348.64,666.9,6/16/2018,48,1,11,0,Paid
1907670,7/16/2018,7/16/2013,12/26/2021,12/26/2022,75359.94,42681.74,666.9,7/16/2018,49,2,11,0,Paid
